origem,cv_fitness,recall,f2,precision,roc_auc,average_precision,brier
Baseline (Fase 1),-0.9956,0.8097401675422405,0.3817933509178304,0.12260561109319575,0.6541634146316301,0.20652071801786287,0.22369132676457745
Exp1_conservador,-0.9906,0.7875905154053671,0.38071640848598826,0.1241564545912372,0.649244484195126,0.2053437665335171,0.22123246864754526
Exp2_padrao,-0.9891,0.7824790572199347,0.37898949887561634,0.12374675813133638,0.649064770198302,0.20344935309746376,0.22058893237609262
Exp3_exploratorio,-0.9894,0.7885134175777367,0.3811180652776634,0.1242782974533411,0.6499971835680316,0.20555157303827842,0.22106791142358181
Exp4_hotstart,-0.9897,0.7954706801079086,0.38194610145688324,0.12403280974994188,0.6519015390566937,0.20553156877022538,0.22148245371359457
